Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW,SNWD (Inches)
1946/1/28,28,,,,,
1946/1/29,26,,,,,
1946/1/30,28,,,,,
1946/1/31,31,,,,,
1946/2/1,19,,,,,
1946/2/2,19,,,,,
1946/2/3,22,,,,,
1946/2/4,26,,,,,
1946/2/5,27,,,,,
1946/2/6,30,,,,,
1946/2/7,28,,,,,
1946/2/8,27,,,,,
1946/2/9,25,,,,,
1946/2/10,32,,,,,
1946/2/11,35,,,,,
1946/2/12,30,,,,,
1946/2/13,34,,,,,
1946/2/14,40,,,,,
1946/2/15,33,,,,,
1946/2/16,27,,,,,
1946/2/17,36,,,,,
1946/2/18,35,,,,,
1946/2/19,42,,,,,
1946/2/20,35,,,,,
1946/2/21,40,,,,,
1946/2/22,31,,,,,
1946/2/23,33,,,,,
1946/2/24,43,,,,,
1946/2/25,38,,,,,
1946/2/26,36,,,,,
1946/2/27,31,,,,,
1946/2/28,30,,,,,
1946/3/1,32,,,,,
1946/3/2,36,,,,,
1946/3/3,29,,,,,
1946/3/4,31,,,,,
1946/3/5,33,,,,,
1946/3/6,30,,,,,
1946/3/7,24,,,,,
1946/3/8,25,,,,,
1946/3/9,30,,,,,
1946/3/10,31,,,,,
1946/3/11,34,,,,,
1946/3/12,35,,,,,
1946/3/13,35,,,,,
1946/3/14,32,,,,,
1946/3/15,34,,,,,
1946/3/16,30,,,,,
1946/3/17,31,,,,,
1946/3/18,34,,,,,
1946/3/19,32,,,,,
1946/3/20,38,,,,,
1946/3/21,43,,,,,
1946/3/22,45,,,,,
1946/3/23,46,,,,,
1946/3/24,45,,,,,
1946/3/25,48,,,,,
1946/3/26,49,,,,,
1946/3/27,44,,,,,
1946/3/28,48,,,,,
1946/3/29,49,,,,,
1946/3/30,53,,,,,
1946/3/31,55,,,,,
1946/4/1,61,,,,,
1946/4/2,58,,,,,
1946/4/3,62,,,,,
1946/4/4,65,,,,,
1946/4/5,54,,,,,
1946/4/6,49,,,,,
1946/4/7,54,,,,,
1946/4/8,56,,,,,
1946/4/9,60,,,,,
1946/4/10,69,,,,,
1946/4/11,70,,,,,
1946/4/12,67,,,,,
1946/4/13,57,,,,,
1946/4/14,58,,,,,
1946/4/15,65,,,,,
1946/4/16,60,,,,,
1946/4/17,50,,,,,
1946/4/18,54,,,,,
1946/4/19,63,,,,,
1946/4/20,63,,,,,
1946/4/21,69,,,,,
1946/4/22,62,,,,,
1946/4/23,69,,,,,
1946/4/24,55,,,,,
1946/4/25,58,,,,,
1946/4/26,59,,,,,
1946/4/27,62,,,,,
1946/4/28,65,,,,,
1946/4/29,65,,,,,
1946/4/30,60,,,,,
1946/5/1,69,,,,,
1946/5/2,68,,,,,
1946/5/3,67,,,,,
1946/5/4,67,,,,,
1946/5/5,69,,,,,
1946/5/6,63,,,,,
1946/5/7,70,,,,,
1946/5/8,59,,,,,
1946/5/9,64,,,,,
1946/5/10,67,,,,,
1946/5/11,59,,,,,
1946/5/12,63,,,,,
1946/5/13,63,,,,,
1946/5/14,68,,,,,
1946/5/15,74,,,,,
1946/5/16,77,,,,,
1946/5/17,62,,,,,
1946/5/18,68,,,,,
1946/5/19,74,,,,,
1946/5/20,72,,,,,
1946/5/21,69,,,,,
1946/5/22,74,,,,,
1946/5/23,65,,,,,
1946/5/24,64,,,,,
1946/5/25,68,,,,,
1946/5/26,72,,,,,
1946/5/27,76,,,,,
1946/5/28,76,,,,,
1946/5/29,77,,,,,
1946/5/30,74,,,,,
1946/5/31,70,,,,,
1946/6/1,71,,,,,
1946/6/2,75,,,,,
1946/6/3,75,,,,,
1946/6/4,78,,,,,
1946/6/5,83,,,,,
1946/6/6,82,,,,,
1946/6/7,83,,,,,
1946/6/8,79,,,,,
1946/6/9,81,,,,,
1946/6/10,81,,,,,
1946/6/11,88,,,,,
1946/6/12,88,,,,,
1946/6/13,93,,,,,
1946/6/14,86,,,,,
1946/6/15,83,,,,,
1946/6/16,91,,,,,
1946/6/17,91,,,,,
1946/6/18,86,,,,,
1946/6/19,84,,,,,
1946/6/20,86,,,,,
1946/6/21,89,,,,,
1946/6/22,81,,,,,
1946/6/23,80,,,,,
1946/6/24,83,,,,,
1946/6/25,81,,,,,
1946/6/26,70,,,,,
1946/6/27,79,,,,,
1946/6/28,85,,,,,
1946/6/29,86,,,,,
1946/6/30,79,,,,,
1946/7/1,81,,,,,
1946/7/2,85,,,,,
1946/7/3,86,,,,,
1946/7/4,83,,,,,
1946/7/5,87,,,,,
1946/7/6,78,,,,,
1946/7/7,78,,,,,
1946/7/8,79,,,,,
1946/7/9,82,,,,,
1946/7/10,83,,,,,
1946/7/11,85,,,,,
1946/7/12,83,,,,,
1946/7/13,79,,,,,
1946/7/14,81,,,,,
1946/7/15,73,,,,,
1946/7/16,78,,,,,
1946/7/17,80,,,,,
1946/7/18,82,,,,,
1946/7/19,82,,,,,
1946/7/20,79,,,,,
1946/7/21,86,,,,,
1946/7/22,87,,,,,
1946/7/23,82,,,,,
1946/7/24,78,,,,,
1946/7/25,76,,,,,
1946/7/26,83,,,,,
1946/7/27,84,,,,,
1946/7/28,85,,,,,
1946/7/29,87,,,,,
1946/7/30,89,,,,,
1946/7/31,87,,,,,
1946/8/1,87,,,,,
1946/8/2,71,,,,,
1946/8/3,77,,,,,
1946/8/4,79,,,,,
1946/8/5,79,,,,,
1946/8/6,79,,,,,
1946/8/7,85,,,,,
1946/8/8,87,,,,,
1946/8/9,85,,,,,
1946/8/10,82,,,,,
1946/8/11,82,,,,,
1946/8/12,78,,,,,
1946/8/13,84,,,,,
1946/8/14,81,,,,,
1946/8/15,83,,,,,
1946/8/16,74,,,,,
1946/8/17,75,,,,,
1946/8/18,81,,,,,
1946/8/19,81,,,,,
1946/8/20,76,,,,,
1946/8/21,80,,,,,
1946/8/22,78,,,,,
1946/8/23,76,,,,,
1946/8/24,79,,,,,
1946/8/25,79,,,,,
1946/8/26,74,,,,,
1946/8/27,80,,,,,
1946/8/28,80,,,,,
1946/8/29,81,,,,,
1946/8/30,79,,,,,
1946/8/31,80,,,,,
1946/9/1,72,,,,,
1946/9/2,75,,,,,
1946/9/3,78,,,,,
1946/9/4,73,,,,,
1946/9/5,74,,,,,
1946/9/6,70,,,,,
1946/9/7,71,,,,,
1946/9/8,68,,,,,
1946/9/9,76,,,,,
1946/9/10,72,,,,,
1946/9/11,74,,,,,
1946/9/12,73,,,,,
1946/9/13,73,,,,,
1946/9/14,77,,,,,
1946/9/15,76,,,,,
1946/9/16,74,,,,,
1946/9/17,60,,,,,
1946/9/18,63,,,,,
1946/9/19,70,,,,,
1946/9/20,67,,,,,
1946/9/21,70,,,,,
1946/9/22,73,,,,,
1946/9/23,70,,,,,
1946/9/24,71,,,,,
1946/9/25,64,,,,,
1946/9/26,68,,,,,
1946/9/27,64,,,,,
1946/9/28,68,,,,,
1946/9/29,69,,,,,
1946/9/30,69,,,,,
1946/10/1,70,,,,,
1946/10/2,61,,,,,
1946/10/3,56,,,,,
1946/10/4,57,,,,,
1946/10/5,57,,,,,
1946/10/6,62,,,,,
1946/10/7,62,,,,,
1946/10/8,61,,,,,
1946/10/9,65,,,,,
1946/10/10,63,,,,,
1946/10/11,62,,,,,
1946/10/12,66,,,,,
1946/10/13,57,,,,,
1946/10/14,60,,,,,
1946/10/15,60,,,,,
1946/10/16,67,,,,,
1946/10/17,67,,,,,
1946/10/18,67,,,,,
1946/10/19,60,,,,,
1946/10/20,62,,,,,
1946/10/21,62,,,,,
1946/10/22,61,,,,,
1946/10/23,60,,,,,
1946/10/24,66,,,,,
1946/10/25,61,,,,,
1946/10/26,47,,,,,
1946/10/27,53,,,,,
1946/10/28,52,,,,,
1946/10/29,55,,,,,
1946/10/30,53,,,,,
1946/10/31,55,,,,,
1946/11/1,47,,,,,
1946/11/2,46,,,,,
1946/11/3,49,,,,,
1946/11/4,56,,,,,
1946/11/5,46,,,,,
1946/11/6,51,,,,,
1946/11/7,51,,,,,
1946/11/8,50,,,,,
1946/11/9,53,,,,,
1946/11/10,55,,,,,
1946/11/11,49,,,,,
1946/11/12,38,,,,,
1946/11/13,40,,,,,
1946/11/14,41,,,,,
1946/11/15,46,,,,,
1946/11/16,48,,,,,
1946/11/17,49,,,,,
1946/11/18,48,,,,,
1946/11/19,45,,,,,
1946/11/20,47,,,,,
1946/11/21,43,,,,,
1946/11/22,47,,,,,
1946/11/23,42,,,,,
1946/11/24,44,,,,,
1946/11/25,45,,,,,
1946/11/26,46,,,,,
1946/11/27,29,,,,,
1946/11/28,30,,,,,
1946/11/29,33,,,,,
1946/11/30,29,,,,,
1946/12/1,37,,,,,
1946/12/2,38,,,,,
1946/12/3,34,,,,,
1946/12/4,30,,,,,
1946/12/5,24,,,,,
1946/12/6,24,,,,,
1946/12/7,28,,,,,
1946/12/8,17,,,,,
1946/12/9,21,,,,,
1946/12/10,24,,,,,
1946/12/11,24,,,,,
1946/12/12,24,,,,,
1946/12/13,28,,,,,
1946/12/14,23,,,,,
1946/12/15,26,,,,,
1946/12/16,23,,,,,
1946/12/17,24,,,,,
1946/12/18,18,,,,,
1946/12/19,16,,,,,
1946/12/20,21,,,,,
1946/12/21,18,,,,,
1946/12/22,21,,,,,
1946/12/23,20,,,,,
1946/12/24,21,,,,,
1946/12/25,22,,,,,
1946/12/26,27,,,,,
1946/12/27,26,,,,,
1946/12/28,26,,,,,
1946/12/29,25,,,,,
1946/12/30,31,,,,,
1946/12/31,28,,,,,
1947/1/1,28,,,,,
1947/1/2,25,,,,,
1947/1/3,22,,,,,
1947/1/4,26,,,,,
1947/1/5,33,,,,,
1947/1/6,26,,,,,
1947/1/7,20,,,,,
1947/1/8,18,,,,,
1947/1/9,24,,,,,
1947/1/10,24,,,,,
1947/1/11,29,,,,,
1947/1/12,22,,,,,
1947/1/13,20,,,,,
1947/1/14,22,,,,,
1947/1/15,29,,,,,
1947/1/16,29,,,,,
1947/1/17,20,,,,,
1947/1/18,20,,,,,
1947/1/19,20,,,,,
1947/1/20,14,,,,,
1947/1/21,13,,,,,
1947/1/22,14,,,,,
1947/1/23,15,,,,,
1947/1/24,15,,,,,
1947/1/25,11,,,,,
1947/1/26,11,,,,,
1947/1/27,19,,,,,
1947/1/28,24,,,,,
1947/1/29,24,,,,,
1947/1/30,25,,,,,
1947/1/31,17,,,,,
1947/2/1,17,,,,,
1947/2/2,14,,,,,
1947/2/3,19,,,,,
1947/2/4,17,,,,,
1947/2/5,21,,,,,
1947/2/6,24,,,,,
1947/2/7,24,,,,,
1947/2/8,22,,,,,
1947/2/9,23,,,,,
1947/2/10,23,,,,,
1947/2/11,28,,,,,
1947/2/12,24,,,,,
1947/2/13,22,,,,,
1947/2/14,16,,,,,
1947/2/15,19,,,,,
1947/2/16,19,,,,,
1947/2/17,19,,,,,
1947/2/18,20,,,,,
1947/2/19,27,,,,,
1947/2/20,25,,,,,
1947/2/21,30,,,,,
1947/2/22,36,,,,,
1947/2/23,33,,,,,
1947/2/24,31,,,,,
1947/2/25,28,,,,,
1947/2/26,26,,,,,
1947/2/27,31,,,,,
1947/2/28,36,,,,,
1947/3/1,35,,,,,
1947/3/2,24,,,,,
1947/3/3,27,,,,,
1947/3/4,31,,,,,
1947/3/5,33,,,,,
1947/3/6,33,,,,,
1947/3/7,23,,,,,
1947/3/8,26,,,,,
1947/3/9,32,,,,,
1947/3/10,40,,,,,
1947/3/11,36,,,,,
1947/3/12,36,,,,,
1947/3/13,36,,,,,
1947/3/14,34,,,,,
1947/3/15,33,,,,,
1947/3/16,36,,,,,
1947/3/17,37,,,,,
1947/3/18,42,,,,,
1947/3/19,43,,,,,
1947/3/20,37,,,,,
1947/3/21,40,,,,,
1947/3/22,38,,,,,
1947/3/23,42,,,,,
1947/3/24,42,,,,,
1947/3/25,44,,,,,
1947/3/26,46,,,,,
1947/3/27,49,,,,,
1947/3/28,47,,,,,
1947/3/29,42,,,,,
1947/3/30,40,,,,,
1947/3/31,42,,,,,
1951/1/1,,25,7,0,,
1951/1/2,20,30,14,0.02,,
1951/1/3,18,25,11,0,,
1951/1/4,19,23,14,0.05,,
1951/1/5,16,20,13,0.18,,
1951/1/6,17,20,14,0,,
1951/1/7,17,20,13,0,,
1951/1/8,16,20,9,0.07,,
1951/1/9,11,22,0,0,,
1951/1/10,8,20,-4,0,,
1951/1/11,6,18,-4,0,,
1951/1/12,5,17,-5,0,,
1951/1/13,6,26,-9,0,,
1951/1/14,7,28,-6,0,,
1951/1/15,8,23,-2,0,,
1951/1/16,15,38,0,0,,
1951/1/17,18,32,7,0,,
1951/1/18,23,37,11,0,,
1951/1/19,21,33,15,0,,
1951/1/20,16,27,14,0,,
1951/1/21,16,30,5,0,,
1951/1/22,18,36,4,0,,
1951/1/23,22,41,8,0,,
1951/1/24,28,43,13,0,,
1951/1/25,31,42,22,0,,
1951/1/26,29,44,19,0,,
1951/1/27,28,47,14,0,,
1951/1/28,30,48,17,0,,
1951/1/29,28,42,20,0,,
1951/1/30,31,45,21,0,,
1951/1/31,29,51,16,0,,
1951/2/1,31,53,16,0,,
1951/2/2,27,36,18,0,,
1951/2/3,22,27,18,0,,
1951/2/4,22,34,13,0,,
1951/2/5,25,37,15,0,,
1951/2/6,24,38,13,0,,
1951/2/7,23,39,12,0,,
1951/2/8,27,40,17,0,,
1951/2/9,27,35,22,0,,
1951/2/10,23,37,13,0,,
1951/2/11,25,45,10,0,,
1951/2/12,28,42,19,0,,
1951/2/13,30,42,24,0,,
1951/2/14,31,49,19,0,,
1951/2/15,29,42,23,0,,
1951/2/16,27,40,18,0,,
1951/2/17,31,47,15,0,,
1951/2/18,31,41,22,0,,
1951/2/19,27,41,15,0,,
1951/2/20,31,33,29,0.06,,
1951/2/21,35,46,31,0.21,,
1951/2/22,30,33,26,0,,
1951/2/23,33,42,24,0,,
1951/2/24,28,31,26,0,,
1951/2/25,28,31,26,0,,
1951/2/26,28,33,26,0.11,,
1951/2/27,28,32,26,0.02,,
1951/2/28,21,29,16,0,,
1951/3/1,17,22,13,0,,
1951/3/2,20,29,15,0,,
1951/3/3,20,36,9,0,,
1951/3/4,26,39,17,0,,
1951/3/5,29,33,27,0,,
1951/3/6,33,42,26,0,,
1951/3/7,36,56,22,0,,
1951/3/8,38,56,27,0,,
1951/3/9,42,61,30,0,,
1951/3/10,40,53,29,0,,
1951/3/11,34,46,26,0,,
1951/3/12,32,45,19,0,,
1951/3/13,34,46,27,0,,
1951/3/14,43,64,26,0,,
1951/3/15,51,70,34,0,,
1951/3/16,52,71,38,0,,
1951/3/17,46,65,36,0,,
1951/3/18,39,50,30,0,,
1951/3/19,39,54,28,0,,
1951/3/20,38,52,29,0,,
1951/3/21,36,51,26,0,,
1951/3/22,38,53,28,0,,
1951/3/23,37,51,25,0,,
1951/3/24,41,49,34,0,,
1951/3/25,46,63,34,0,,
1951/3/26,47,53,42,0.06,,
1951/3/27,46,57,38,0,,
1951/3/28,44,53,36,0,,
1951/3/29,46,61,36,0,,
1951/3/30,44,59,31,0,,
1951/3/31,50,63,40,0,,
1951/4/1,50,61,41,0,,
1951/4/2,48,63,40,0,,
1951/4/3,48,68,33,0,,
1951/4/4,52,75,36,0,,
1951/4/5,55,73,41,0,,
1951/4/6,55,64,48,0,,
1951/4/7,48,62,34,0,,
1951/4/8,49,60,38,0,,
1951/4/9,47,62,33,0,,
1951/4/10,49,58,41,0,,
1951/4/11,45,59,37,0,,
1951/4/12,48,60,37,0,,
1951/4/13,52,63,44,0,,
1951/4/14,51,67,38,0,,
1951/4/15,54,69,42,0,,
1951/4/16,53,66,43,0,,
1951/4/17,54,69,42,0,,
1951/4/18,52,66,42,0,,
1951/4/19,50,60,45,0.03,,
1951/4/20,50,58,41,0,,
1951/4/21,52,75,34,0,,
1951/4/22,51,63,43,0,,
1951/4/23,50,66,35,0,,
1951/4/24,55,72,41,0,,
1951/4/25,57,72,46,0,,
1951/4/26,54,65,47,0.01,,
1951/4/27,57,72,46,0,,
1951/4/28,63,74,57,0,,
1951/4/29,63,74,56,0,,
1951/4/30,62,80,45,0,,
1951/5/1,66,87,50,0,,
1951/5/2,67,87,51,0,,
1951/5/3,69,81,61,0,,
1951/5/4,68,86,55,0,,
1951/5/5,65,80,49,0,,
1951/5/6,64,81,52,0,,
1951/5/7,65,83,51,0,,
1951/5/8,67,87,52,0,,
1951/5/9,68,77,60,0,,
1951/5/10,70,90,53,0,,
1951/5/11,76,92,61,0,,
1951/5/12,75,87,65,0,,
1951/5/13,64,73,58,0.02,,
1951/5/14,61,71,55,0,,
1951/5/15,62,77,53,0,,
1951/5/16,63,71,57,0,,
1951/5/17,60,74,48,0,,
1951/5/18,63,74,52,0,,
1951/5/19,64,80,51,0,,
1951/5/20,66,85,53,0,,
1951/5/21,68,89,52,0,,
1951/5/22,73,94,56,0,,
1951/5/23,77,94,61,0,,
1951/5/24,69,74,63,1.05,,
1951/5/25,66,75,61,0.2,,
1951/5/26,71,85,64,0,,
1951/5/27,73,87,62,0,,
1951/5/28,76,90,68,0,,
1951/5/29,66,72,61,4.01,,
1951/5/30,68,78,61,0.46,,
1951/5/31,72,84,62,0,,
1951/6/1,74,90,62,0,,
1951/6/2,70,84,64,0.02,,
1951/6/3,68,77,60,0,,
1951/6/4,70,90,55,0,,
1951/6/5,74,90,62,0,,
1951/6/6,76,93,63,0,,
1951/6/7,71,80,62,0,,
1951/6/8,71,84,61,0,,
1951/6/9,72,90,59,0,,
1951/6/10,71,88,58,0,,
1951/6/11,73,90,60,0,,
1951/6/12,79,98,62,0,,
1951/6/13,79,87,70,0,,
1951/6/14,76,91,64,0,,
1951/6/15,78,91,67,0,,
1951/6/16,77,92,64,0,,
1951/6/17,78,95,66,0,,
1951/6/18,81,97,69,0,,
1951/6/19,78,91,68,0,,
1951/6/20,74,81,69,0,,
1951/6/21,81,94,72,0,,
1951/6/22,80,100,64,0,,
1951/6/23,75,85,67,0,,
1951/6/24,76,89,67,0,,
1951/6/25,78,99,61,0,,
1951/6/26,80,98,67,0.04,,
1951/6/27,82,99,68,0,,
1951/6/28,80,97,71,0.03,,
1951/6/29,75,83,69,0.1,,
1951/6/30,68,72,66,1.51,,
1951/7/1,68,70,67,1.16,,
1951/7/2,73,81,68,0,,
1951/7/3,76,88,69,0,,
1951/7/4,73,83,66,0,,
1951/7/5,73,89,61,0,,
1951/7/6,74,91,62,0,,
1951/7/7,76,90,65,0,,
1951/7/8,76,87,66,0,,
1951/7/9,77,88,71,0,,
1951/7/10,80,93,71,0,,
1951/7/11,77,89,69,0,,
1951/7/12,74,88,65,0.23,,
1951/7/13,73,86,65,0.03,,
1951/7/14,76,92,65,0,,
1951/7/15,79,94,69,0.01,,
1951/7/16,80,98,67,0,,
1951/7/17,81,98,68,0,,
1951/7/18,82,95,72,0,,
1951/7/19,80,92,72,0,,
1951/7/20,77,87,70,0.1,,
1951/7/21,77,90,69,0,,
1951/7/22,80,96,69,0,,
1951/7/23,83,96,73,0,,
1951/7/24,80,86,73,0,,
1951/7/25,79,91,70,0,,
1951/7/26,83,94,76,0.03,,
1951/7/27,81,94,74,1.68,,
1951/7/28,76,91,67,0,,
1951/7/29,74,83,68,0,,
1951/7/30,74,88,65,0,,
1951/7/31,78,93,67,0,,
1951/8/1,75,80,72,0.24,,
1951/8/2,77,88,69,0,,
1951/8/3,80,93,71,0,,
1951/8/4,82,92,75,0,,
1951/8/5,83,95,74,0,,
1951/8/6,83,94,74,0,,
1951/8/7,84,99,77,0,,
1951/8/8,85,101,74,0,,
1951/8/9,83,96,72,0,,
1951/8/10,78,90,70,0.17,,
1951/8/11,77,89,69,0,,
1951/8/12,82,93,76,0,,
1951/8/13,82,94,76,0,,
1951/8/14,80,89,73,0.19,,
1951/8/15,74,78,69,3.48,,
1951/8/16,73,83,68,0.02,,
1951/8/17,75,91,64,0,,
1951/8/18,75,93,64,0,,
1951/8/19,74,89,65,0.37,,
1951/8/20,72,86,64,0.14,,
1951/8/21,73,90,63,0,,
1951/8/22,75,91,67,0,,
1951/8/23,75,90,63,0,,
1951/8/24,71,80,61,0,,
1951/8/25,69,89,54,0,,
1951/8/26,71,88,58,0,,
1951/8/27,70,76,65,0.06,,
1951/8/28,74,92,63,0,,
1951/8/29,75,89,63,0,,
1951/8/30,78,87,71,0.19,,
1951/8/31,73,92,62,0,,
1951/9/1,72,87,63,0,,
1951/9/2,71,83,63,0,,
1951/9/3,68,83,59,0,,
1951/9/4,70,89,59,0,,
1951/9/5,70,86,59,0,,
1951/9/6,63,71,59,0.44,,
1951/9/7,61,77,54,0,,
1951/9/8,62,80,49,0,,
1951/9/9,66,81,55,0,,
1951/9/10,68,81,58,0,,
1951/9/11,63,84,50,0.13,,
1951/9/12,62,76,53,0,,
1951/9/13,58,60,54,0.42,,
1951/9/14,58,70,54,0.03,,
1951/9/15,61,78,48,0,,
1951/9/16,63,80,52,0,,
1951/9/17,68,85,54,0,,
1951/9/18,63,76,53,0,,
1951/9/19,61,79,48,0,,
1951/9/20,60,80,47,0,,
1951/9/21,63,83,50,0,,
1951/9/22,68,86,55,0,,
1951/9/23,67,77,59,0,,
1951/9/24,62,71,54,0,,
1951/9/25,59,73,47,0,,
1951/9/26,58,76,43,0,,
1951/9/27,57,71,50,0,,
1951/9/28,56,66,47,0,,
1951/9/29,54,68,47,0,,
1951/9/30,56,66,43,0,,
1951/10/1,56,72,46,0,,
1951/10/2,57,77,46,0,,
1951/10/3,60,74,51,0,,
1951/10/4,64,83,52,0,,
1951/10/5,67,77,61,0,,
1951/10/6,68,83,60,0,,
1951/10/7,66,85,53,0,,
1951/10/8,67,84,55,0,,
1951/10/9,67,84,57,0,,
1951/10/10,63,69,58,0,,
1951/10/11,60,67,57,0.05,,
1951/10/12,56,59,55,0,,
1951/10/13,57,63,51,0,,
1951/10/14,56,67,47,0,,
1951/10/15,59,78,48,0,,
1951/10/16,54,57,51,0,,
1951/10/17,56,62,51,0,,
1951/10/18,58,65,51,0.5,,
1951/10/19,49,51,47,0.58,,
1951/10/20,51,63,45,0,,
1951/10/21,49,64,40,0,,
1951/10/22,51,68,41,0,,
1951/10/23,48,65,37,0,,
1951/10/24,47,58,40,0,,
1951/10/25,46,55,33,0,,
1951/10/26,45,62,33,0,,
1951/10/27,45,64,33,0,,
1951/10/28,47,61,39,0,,
1951/10/29,47,65,35,0,,
1951/10/30,44,51,40,0.27,,
1951/10/31,48,60,38,0,,
1951/11/1,42,56,31,0,,
1951/11/2,42,59,33,0,,
1951/11/3,45,58,37,0,,
1951/11/4,47,55,43,0,,
1951/11/5,40,44,35,0,,
1951/11/6,41,52,34,0,,
1951/11/7,40,51,34,0,,
1951/11/8,39,55,28,0,,
1951/11/9,40,58,29,0,,
1951/11/10,41,56,30,0,,
1951/11/11,43,49,38,0.04,,
1951/11/12,48,60,41,0.05,,
1951/11/13,51,54,49,0,,
1951/11/14,54,65,46,0,,
1951/11/15,46,59,36,0,,
1951/11/16,45,58,36,0,,
1951/11/17,41,58,30,0,,
1951/11/18,41,49,32,0,,
1951/11/19,48,56,42,0,,
1951/11/20,46,49,43,0,,
1951/11/21,34,47,25,0.09,,
1951/11/22,25,32,20,0,,
1951/11/23,25,37,16,0,,
1951/11/24,29,44,19,0,,
1951/11/25,28,36,22,0,,
1951/11/26,25,37,17,0,,
1951/11/27,31,51,19,0,,
1951/11/28,32,47,22,0,,
1951/11/29,33,51,23,0,,
1951/11/30,34,52,23,0,,
1951/12/1,34,49,24,0,,
1951/12/2,39,51,32,0,,
1951/12/3,37,47,30,0,,
1951/12/4,37,45,30,0,,
1951/12/5,35,49,27,0,,
1951/12/6,35,49,22,0,,
1951/12/7,35,42,29,0,,
1951/12/8,30,45,20,0,,
1951/12/9,33,52,21,0,,
1951/12/10,37,55,24,0,,
1951/12/11,36,52,27,0,,
1951/12/12,41,49,36,0,,
1951/12/13,34,39,26,0,,
1951/12/14,28,35,23,0,,
1951/12/15,35,48,21,0,,
1951/12/16,39,54,29,0,,
1951/12/17,38,54,25,0,,
1951/12/18,37,54,26,0,,
1951/12/19,35,53,22,0,,
1951/12/20,36,56,24,0,,
1951/12/21,32,52,22,0,,
1951/12/22,37,46,28,0,,
1951/12/23,27,35,20,0,,
1951/12/24,28,35,21,0,,
1951/12/25,35,44,28,0,,
1951/12/26,26,36,16,0.03,,
1951/12/27,26,37,20,0,,
1951/12/28,22,32,14,0,,
1951/12/29,20,30,10,0,,
1951/12/30,25,32,20,0,,
1951/12/31,29,40,17,0,,
1952/1/1,27,41,19,0,,
1952/1/2,29,40,20,0,,
1952/1/3,27,40,14,0,,
1952/1/4,26,33,18,0,,
1952/1/5,21,34,12,0,,
1952/1/6,22,29,17,0,,
1952/1/7,23,36,12,0,,
1952/1/8,24,38,14,0,,
1952/1/9,25,38,18,0,,
1952/1/10,27,41,17,0,,
1952/1/11,22,37,13,0,,
1952/1/12,21,31,14,0,,
1952/1/13,24,42,11,0,,
1952/1/14,28,35,14,0,,
1952/1/15,31,46,15,0,,
1952/1/16,33,42,24,0,,
1952/1/17,27,37,18,0,,
1952/1/18,26,42,14,0,,
1952/1/19,33,49,23,0,,
1952/1/20,32,45,20,0,,
1952/1/21,32,42,22,0,,
1952/1/22,32,42,25,0,,
1952/1/23,27,42,15,0,,
1952/1/24,23,36,16,0,,
1952/1/25,18,28,9,0,,
1952/1/26,21,35,10,0,,
1952/1/27,29,51,16,0,,
